Orbit #,glare_initial,glare_final,,,,,,Difference (Labeled - Predicted)
4488,0,14,,4488,0,11,,-3
4489,0,12,,4489,0,12,,0
4493,1416,1612,,,,,,
4494,0,11,,,,,,
4495,0,12,,,,,,
4496,0,12,,,,,,
4497,0,9,,,,,,
4498,0,12,,,,,,
4499,0,10,,,,,,
4500,0,11,,4500,0,10,,-1
4501,0,11,,4501,0,10,,-1
4502,0,9,,4502,0,12,,3
4503,0,9,,4503,0,12,,3
4504,0,10,,4504,0,13,,3
4505,0,10,,4505,0,10,,0
4506,0,14,,4506,0,18,,4
4507,0,8,,4507,0,12,,4
4508,0,19,,4508,0,22,,3
4509,0,17,,4509,0,28,,11
4510,0,8,,4510,0,10,,2
4511,0,12,added,4511,0,12,,0
4512,0,11,,4512,0,12,,1
4513,0,22,,4513,0,22,,0
4514,0,12,,4514,0,13,,1
4515,0,8,,4515,0,6,,-2
4516,0,15,,,,,,
4517,0,12,,,,,,
4518,0,7,,,,,,
4519,0,8,,,,,,
4521,0,10,,,,,,
4523,0,21,,,,,,
4524,0,7,,,,,,
4527,0,11,,,,,,
4528,0,10,,,,,,
4529,0,6,,,,,,
4530,0,8,,,,,,
4531,0,7,,,,,,
4532,0,9,,,,,,
4533,0,9,,,,,,
4534,0,8,,,,,,
4535,0,8,,,,,,
4536,0,6,,,,,,
4544,0,11,,,,,,
4545,0,11,,,,,,
4546,0,11,,,,,,
4547,0,11,,,,,,
4548,0,13,,,,,,
4549,0,7,,,,,,
4550,0,9,,4550,0,10,,1
4551,0,11,,4551,0,10,,-1
4552,0,10,,4552,0,14,,4
4553,0,11,,4553,0,10,,-1
4554,0,14,,4554,0,11,,-3
4555,0,16,,4555,0,18,,2
4555,1457,1467,,,,,I missed the glare at the end,
4556,0,20,,4556,0,17,,-3
4557,0,16,,4557,0,15,,-1
4558,0,25,,4558,0,32,,7
4559,0,19,,4559,0,19,,0
,,,,,,,,
5418,0,86,,,,,,
5471,1975,2011,,,,,,
5634,0,75,,,,,,
,,,,,,,,
5853,1410,1424,,,,,,
5854,1384,1395,,,,,,
5855,1373,1389,,,,,,
5856,1376,1398,,,,,,
5857,1356,1381,,,,,,
5858,1356,1389,,,,,,
,,,,,,,,
5859,0,10,,,,,,
5860,0,18,,,,,,
5861,0,10,,,,,,
5862,0,3,,,,,,
5863,0,23,,,,,,
5864,0,8,,,,,,
5865,0,12,,,,,,
5866,0,22,,,,,,
5867,0,33,,,,,,
5868,0,38,,,,,,
5869,0,21,,,,,,
5870,0,38,,,,,,
5871,0,38,,,,,,
5872,0,31,,,,,,
5873,0,36,,,,,,
5874,0,43,,,,,,
5875,0,44,,,,,,
5876,0,44,,,,,,
5877,0,45,,,,,,
5878,0,45,,,,,,
5879,0,55,,,,,,
5880,0,60,,,,,,
5881,0,62,,,,,,
5882,0,62,,,,,,
5883,0,75,,,,,,
5884,0,80,,,,,,
5885,0,86,,,,,,
5886,0,90,,,,,,
5887,0,104,,,,,,
5888,0,118,,,,,,
5889,0,128,,,,,,
5890,0,134,,,,,,
5891,0,145,,,,,,
5892,0,154,,,,,,
5893,0,80,,,,,,
5894,0,85,,,,,,
5895,0,82,,,,,,
5896,0,70,,,,,,
5897,0,72,,,,,,
5898,0,65,,,,,,
5899,0,64,,,,,,
5900,0,70,,,,,,
5901,0,65,,,,,,
5902,0,50,,,,,,
5903,0,48,,,,,,
5904,0,49,,,,,,
5905,0,50,,,,,,
5906,0,50,,,,,,
5907,0,51,,,,,,
5908,0,51,,,,,,
5909,0,50,,,,,,
5910,0,54,,,,,,
5911,0,48,,,,,,
5912,0,50,,,,,,
5913,0,47,,,,,,
5914,0,46,,,,,,
5915,0,49,,,,,,
5916,0,45,,,,,,
5917,0,48,,,,,,
5918,0,48,,,,,,
5919,0,47,,,,,,
5920,0,44,,,,,,
5921,0,44,,,,,,
5922,0,50,,,,,,
5923,0,44,,,,,,
5924,0,48,,,,,,
5925,0,46,,,,,,
5926,0,50,,,,,,
5927,0,48,,,,,,
5928,0,49,,,,,,
5929,0,45,,,,,,
5930,0,47,,,,,,
5931,0,45,,,,,,
5932,0,38,,,,,,
5933,0,48,,,,,,
5934,0,48,,,,,,
5935,0,34,,,,,,
5936,0,42,,,,,,
5937,0,39,,,,,,
5938,0,46,,,,,,
5939,0,28,,,,,,
5940,0,42,,,,,,
5941,0,41,,,,,,
5942,0,30,,,,,,
5943,0,32,,,,,,
5944,0,30,,,,,,
5945,0,42,,,,,,
5946,0,36,,,,,,
5947,0,49,,,,,,
5948,0,44,,,,,,
5949,0,48,,,,,,
5950,0,38,,,,,,
5951,0,38,,,,,,
5952,0,38,,,,,,
5953,0,46,,,,,,
5954,0,42,,,,,,
5955,0,39,,,,,,
5956,0,45,,,,,,
5957,0,45,,,,,,
5958,0,44,,,,,,
5959,0,46,,,,,,
5960,0,45,,,,,,
5961,0,46,,,,,,
5962,0,45,,,,,,
5963,0,44,,,,,,
5964,0,48,,,,,,
5965,0,45,,,,,,
5966,0,45,,,,,,
5967,0,44,,,,,,
5968,0,48,,,,,,
5969,0,47,,,,,,
5970,0,44,,,,,,
5971,0,42,,,,,,
5972,0,46,,,,,,
5973,0,42,,,,,,
5974,0,42,,,,,,
5975,0,44,,,,,,
5976,0,45,,,,,,
5977,0,46,,,,,,
5978,0,45,,,,,,
5979,0,50,,,,,,
5980,0,44,,,,,,
5981,0,44,,,,,,
5982,0,48,,,,,,
5983,0,45,,,,,,
5984,0,46,,,,,,
5985,0,48,,,,,,
5986,0,47,,,,,,
5987,0,50,,,,,,
5988,0,42,,,,,,
5989,0,60,,,,,,
5990,0,60,,,,,,
5991,0,52,,,,,,
5992,0,58,,,,,,
5993,0,60,,,,,,
5994,0,60,,,,,,
5995,0,58,,,,,,
5996,0,55,,,,,,
5997,0,52,,,,,,
5998,0,55,,,,,,
5999,0,60,,,,,,
6000,0,60,,,,,,
6001,0,55,,,,,,
6002,0,58,,,,,,
6003,0,58,,,,,,
6004,0,54,,,,,,
6005,0,52,,,,,,
6006,0,38,,,,,,
6007,0,58,,,,,,
6008,0,50,,,,,,
6009,0,45,,,,,,
6010,0,42,,,,,,
6011,0,40,,,,,,
6012,0,38,,,,,,
6013,0,38,,,,,,
6014,0,34,,,,,,
6015,0,35,,,,,,
6016,0,34,,,,,,
6017,0,35,,,,,,
6018,0,34,,,,,,
6019,0,28,,,,,,
6020,0,33,,,,,,
6021,0,33,,,,,,
6022,0,36,,,,,,
6023,0,37,,,,,,
6024,0,26,,,,,,
6025,0,24,,,,,,
6026,0,19,,,,,,
6027,0,15,,,,,,
6028,0,6,,,,,,
6029,0,4,,,,,,
6030,0,3,,,,,,
,,,,,,,,
5859,1332,1366,,,,,,
5860,1330,1361,,,,,,
5861,1330,1358,,,,,,
5862,1322,1357,,,,,,
5863,1302,1344,,,,,,
5864,1308,1346,,,,,,
5865,1294,1337,,,,,,
5866,1275,1315,,,,,,
5867,1279,1323,,,,,,
5868,1270,1321,,,,,,
5869,1268,1316,,,,,,
5870,1252,1314,,,,,,
5871,1246,1310,,,,,,
5872,1234,1304,,,,,,
5873,1226,1301,,,,,,
5874,1226,1295,,,,,,
5875,1213,1294,,,,,,
5876,1215,1290,,,,,,
5877,1218,1287,,,,,,
5878,1208,1282,,,,,,
5879,1210,1285,,,,,,
5880,1202,1281,,,,,,
5881,1212,1284,,,,,,
5882,1216,1283,,,,,,
5883,1208,1280,,,,,,
5884,1216,1279,,,,,,
5885,1202,1283,,,,,,
5886,1218,1283,,,,,,
5887,1212,1284,,,,,,
5888,1212,1284,,,,,,
5889,1216,1286,,,,,,
5890,1222,1289,,,,,,
5891,1225,1288,,,,,,
5892,1215,1285,,,,,,
5893,1212,1293,,,,,,
5894,1218,1290,,,,,,
5895,1225,1295,,,,,,
5896,1222,1290,,,,,,
5897,1222,1289,,,,,,
5898,1226,1286,,,,,,
5899,1222,1289,,,,,,
5900,1225,1289,,,,,,
5901,1226,1292,,,,,,
5902,1114,1190,,,,,,
5903,1182,1263,,,,,,
5904,1182,1256,,,,,,
5905,1176,1252,,,,,,
5906,1180,1250,,,,,,
5907,1176,1252,,,,,,
5908,1174,1253,,,,,,
5909,1172,1254,,,,,,
5910,1180,1252,,,,,,
5911,1185,1253,,,,,,
5912,1176,1256,,,,,,
5913,1182,1254,,,,,,
5914,1181,1254,,,,,,
5915,1179,1254,,,,,,
5916,1189,1255,,,,,,
5917,1184,1254,,,,,,
5918,1187,1263,,,,,,
5919,1188,1265,,,,,,
5920,1184,1263,,,,,,
5921,1191,1264,,,,,,
5922,1187,1261,,,,,,
5923,1188,1261,,,,,,
5924,1184,1261,,,,,,
5925,1177,1261,,,,,,
5926,1175,1261,,,,,,
5927,1181,1260,,,,,,
5928,1176,1259,,,,,,
5929,1180,1256,,,,,,
5930,1182,1261,,,,,,
5931,1177,1254,,,,,,
5932,1180,1252,,,,,,
5933,1180,1261,,,,,,
5934,1181,1259,,,,,,
5935,1166,1241,,,,,,
5936,1173,1253,,,,,,
5937,1172,1251,,,,,,
5938,1177,1255,,,,,,
5939,1162,1242,,,,,,
5940,1176,1256,,,,,,
5941,1172,1246,,,,,,
5942,1165,1240,,,,,,
5943,1168,1249,,,,,,
5944,1165,1243,,,,,,
5945,1178,1256,,,,,,
5946,1165,1243,,,,,,
5947,1177,1260,,,,,,
5948,1178,1257,,,,,,
5949,1176,1257,,,,,,
5950,1174,1248,,,,,,
5951,1174,1250,,,,,,
5952,1166,1248,,,,,,
5953,1185,1260,,,,,,
5954,1182,1259,,,,,,
5955,1180,1258,,,,,,
5956,1180,1261,,,,,,
5957,1180,1259,,,,,,
5958,1184,1260,,,,,,
5959,1184,1261,,,,,,
5960,1184,1262,,,,,,
5961,1184,1260,,,,,,
5962,1184,1260,,,,,,
5963,1182,1260,,,,,,
5964,1182,1260,,,,,,
5965,1182,1261,,,,,,
5966,1182,1262,,,,,,
5967,1184,1261,,,,,,
5968,1184,1255,,,,,,
5969,1182,1251,,,,,,
5970,1178,1253,,,,,,
5971,1180,1257,,,,,,
5972,1182,1257,,,,,,
5973,1186,1260,,,,,,
5974,1178,1253,,,,,,
5975,1184,1254,,,,,,
5976,1178,1252,,,,,,
5977,1178,1253,,,,,,
5978,1178,1254,,,,,,
5979,1178,1253,,,,,,
5980,1178,1252,,,,,,
5981,1178,1252,,,,,,
5982,1182,1255,,,,,,
5983,1182,1254,,,,,,
5984,1180,1253,,,,,,
5985,1180,1252,,,,,,
5986,1183,1254,,,,,,
5987,1184,1255,,,,,,
5988,1202,1273,,,,,,
5989,1243,1307,,,,,,
5990,1238,1305,,,,,,
5991,1222,1291,,,,,,
5992,1220,1293,,,,,,
5993,1224,1287,,,,,,
5994,1224,1286,,,,,,
5995,1222,1285,,,,,,
5996,1218,1282,,,,,,
5997,1218,1283,,,,,,
5998,1222,1282,,,,,,
5999,1218,1280,,,,,,
6000,1212,1283,,,,,,
6001,1218,1280,,,,,,
6002,1214,1280,,,,,,
6003,1217,1283,,,,,,
6004,1220,1282,,,,,,
6005,1218,1281,,,,,,
6006,1197,1260,,,,,,
6007,1220,1283,,,,,,
6008,1218,1280,,,,,,
6009,1218,1282,,,,,,
6010,1222,1281,,,,,,
6011,1225,1283,,,,,,
6012,1232,1287,,,,,,
6013,1242,1291,,,,,,
6014,1247,1293,,,,,,
6015,1255,1298,,,,,,
6016,1261,1300,,,,,,
6017,1278,1312,,,,,,
6018,1280,1316,,,,,,
6019,1286,1323,,,,,,
6020,1297,1329,,,,,,
6021,1300,1337,,,,,,
6022,1307,1346,,,,,,
6023,1306,1351,,,,,,
6024,1311,1356,,,,,,
6025,1334,1362,,,,,,
6026,1352,1368,,,,,,
6027,1357,1372,,,,,,
6028,1353,1366,,,,,,
6029,1372,1386,,,,,,
6030,1367,1378,,,,,,
